EventType,Date,StartTime,EndTime,Duration,Borough,Category,ZipCode(s)
Theater Load in and Load Outs,11/30/2022,0:01:00,23:59:00,23:58:00,Manhattan,Theater,"10003, 10029"
Shooting Permit,11/21/2022,8:30:00,20:30:00,12:00:00,Bronx,Episodic Television series,"10466, 10467"
Theater Load in and Load Outs,11/29/2022,0:01:00,23:59:00,23:58:00,Manhattan,Theater,"10003, 10029"
Shooting Permit,11/28/2022,7:00:00,21:00:00,14:00:00,Brooklyn,Episodic Television series,11222
Theater Load in and Load Outs,11/20/2022,0:01:00,23:59:00,23:58:00,Manhattan,Theater,"10003, 10029"
Theater Load in and Load Outs,11/19/2022,0:01:00,23:59:00,23:58:00,Manhattan,Theater,"10003, 10029"
Shooting Permit,11/23/2022,6:00:00,20:00:00,14:00:00,Queens,Episodic Television series,"11237, 11385"
Shooting Permit,11/21/2022,7:00:00,21:00:00,14:00:00,Brooklyn,Episodic Television series,11222
Theater Load in and Load Outs,11/23/2022,0:01:00,23:59:00,23:58:00,Manhattan,Theater,"10001, 10121"
Shooting Permit,11/18/2022,6:00:00,21:00:00,15:00:00,Brooklyn,Episodic Television series,11222
Shooting Permit,11/17/2022,7:00:00,21:00:00,14:00:00,Brooklyn,Episodic Television series,11222
Shooting Permit,11/21/2022,7:00:00,21:00:00,14:00:00,Brooklyn,Commercial,11207
Shooting Permit,11/21/2022,8:00:00,18:00:00,10:00:00,Manhattan,Still Photography,10027
Shooting Permit,11/20/2022,7:00:00,21:00:00,14:00:00,Brooklyn,Commercial,11207
Shooting Permit,11/19/2022,7:00:00,21:00:00,14:00:00,Brooklyn,Commercial,11207
Shooting Permit,11/22/2022,11:00:00,2:00:00,15:00:00,Brooklyn,Episodic Television series,11222
Shooting Permit,11/22/2022,7:00:00,21:00:00,14:00:00,Brooklyn,Episodic Television series,"11207, 11208, 11237, 11385"
Shooting Permit,11/22/2022,7:00:00,21:00:00,14:00:00,Bronx,Episodic Television series,10473
Shooting Permit,11/18/2022,15:00:00,6:00:00,15:00:00,Manhattan,Cable-episodic Television,10007
Shooting Permit,11/18/2022,13:00:00,4:00:00,15:00:00,Queens,Episodic Television series,"11385, 11418"
Shooting Permit,11/20/2022,0:00:00,2:59:00,2:59:00,Manhattan,News,"10036, 10105"
Shooting Permit,11/19/2022,5:00:00,23:59:00,18:59:00,Manhattan,News,"10036, 10105"
Shooting Permit,11/18/2022,4:00:00,23:59:00,19:59:00,Manhattan,News,"10036, 10105"
Shooting Permit,11/18/2022,9:00:00,20:00:00,11:00:00,Queens,Commercial,11102
